25106753802566772911Fælleskonto         569525340GBP
12018049543473040986Budgetkonto         230938316IDR
12018049540601628965NemKonto            114928413IDR
12018049549502094801Børneopsparing       55395321IDR
25018285677487602163Studiekonto          76676440EGP
25018285676215834924Fælleskonto         605191490EGP
22048482895223495592Opsparingskonto     316326297GYD
22048482893943416112NemKonto            184467621GYD
22048482897398241625Budgetkonto         850184291GYD
05035679419727812674Børneopsparing      285101711PHP
26089235994250840218Budgetkonto         501394535DOP
26089235993787466084Budgetkonto         534175223DOP
24017475831133417156Opsparingskonto      54776461SLL
24017475833417717081Studiekonto          88200915SLL
06105370215581600072Fælleskonto          10342457ANG
